Kraj,Okres,Obec,test2,poz2,% poz2,test3,poz3,% poz3,test4a,poz4a,% poz4a,test4b,poz4b,% poz4b,test4c,poz4c,% poz4c
Banskobystrický,Banská Bystrica,Baláže,170,4,"2,35%",196,2,"1,02%",54,0,"0,00%",63,3,"4,76%",117,3,"2,56%"
Banskobystrický,Banská Štiavnica,Kozelník,95,2,"2,11%",,,,18,0,"0,00%",30,2,"6,67%",48,2,"4,17%"
Banskobystrický,Banská Štiavnica,Močiar,97,1,"1,03%",,,,20,0,"0,00%",16,0,"0,00%",36,0,"0,00%"
Banskobystrický,Brezno,Dolná Lehota,788,5,"0,63%",707,8,"1,13%",131,0,"0,00%",36,0,"0,00%",167,0,"0,00%"
Banskobystrický,Brezno,Jasenie,655,12,"1,83%",719,8,"1,11%",265,4,"1,51%",46,1,"2,17%",311,5,"1,61%"
Banskobystrický,Brezno,Šumiac,790,9,"1,14%",842,10,"1,19%",166,8,"4,82%",70,2,"2,86%",236,10,"4,24%"
Banskobystrický,Brezno,Valaská,1829,31,"1,69%",1905,21,"1,10%",396,11,"2,78%",79,3,"3,80%",475,14,"2,95%"
Banskobystrický,Brezno,Vaľkovňa,341,3,"0,88%",349,5,"1,43%",22,0,"0,00%",58,6,"10,34%",80,6,"7,50%"
Banskobystrický,Krupina,Hontianske Moravce,421,6,"1,43%",,,,120,2,"1,67%",22,0,"0,00%",142,2,"1,41%"
Banskobystrický,Krupina,Ladzany,337,4,"1,19%",,,,53,0,"0,00%",13,0,"0,00%",66,0,"0,00%"
Banskobystrický,Krupina,Lišov,146,2,"1,37%",,,,81,3,"3,70%",21,0,"0,00%",102,3,"2,94%"
Banskobystrický,Krupina,Súdovce,166,2,"1,20%",,,,50,0,"0,00%",18,0,"0,00%",68,0,"0,00%"
Banskobystrický,Lučenec,Mikušovce,163,2,"1,23%",,,,42,0,"0,00%",67,2,"2,99%",109,2,"1,83%"
Banskobystrický,Lučenec,Mýtna,842,15,"1,78%",,,,76,1,"1,32%",197,22,"11,17%",273,23,"8,42%"
Banskobystrický,Poltár,Hradište,144,2,"1,39%",,,,10,0,"0,00%",5,0,"0,00%",15,0,"0,00%"
Banskobystrický,Poltár,Hrnčiarska Ves,463,9,"1,94%",,,,33,0,"0,00%",40,4,"10,00%",73,4,"5,48%"
Banskobystrický,Poltár,Selce,118,3,"2,54%",,,,10,0,"0,00%",9,0,"0,00%",19,0,"0,00%"
