name,code,population,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31,2020-09-01,2020-09-02,2020-09-03,2020-09-04,2020-09-05,2020-09-06,2020-09-07,2020-09-08,2020-09-09,2020-09-10,2020-09-11,2020-09-12,2020-09-13,2020-09-14,2020-09-15,2020-09-16,2020-09-17,2020-09-18,2020-09-19,2020-09-20,2020-09-21,2020-09-22,2020-09-23,2020-09-24,2020-09-25,2020-09-26,2020-09-27,2020-09-28,2020-09-29,2020-09-30,2020-10-01,2020-10-02,2020-10-03,2020-10-04,2020-10-05,2020-10-06,2020-10-07,2020-10-08,2020-10-09,2020-10-10,2020-10-11,2020-10-12,2020-10-13,2020-10-14,2020-10-15,2020-10-16,2020-10-17,2020-10-18,2020-10-19,2020-10-20,2020-10-21,2020-10-22,2020-10-23,2020-10-24,2020-10-25,2020-10-26,2020-10-27,2020-10-28,2020-10-29,2020-10-30,2020-10-31,2020-11-01,2020-11-02,2020-11-03,2020-11-04,2020-11-05,2020-11-06,2020-11-07,2020-11-08,2020-11-09,2020-11-10,2020-11-11,2020-11-12,2020-11-13,2020-11-14,2020-11-15,2020-11-16,2020-11-17,2020-11-18,2020-11-19,2020-11-20,2020-11-21,2020-11-22,2020-11-23,2020-11-24,2020-11-25,2020-11-26,2020-11-27,2020-11-28,2020-11-29,2020-11-30,2020-12-01,2020-12-02,2020-12-03,2020-12-04,2020-12-05,2020-12-06,2020-12-07,2020-12-08,2020-12-09,2020-12-10,2020-12-11,2020-12-12,2020-12-13,2020-12-14,2020-12-15,2020-12-16,2020-12-17,2020-12-18,2020-12-19,2020-12-20,2020-12-21,2020-12-22,2020-12-23,2020-12-24
Appingedam,GM0003,11524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,2,0,0,1,1,0,2,1,0,1,0,0,0,0,2,1,2,0,2,1,2,0,2,2,1,2,0,3,3,0,1,1,1,1,0,0,0,4,1,2,3,3,3,0,0,2,2,0,0,0,1,0,0,1,2,1,3,0,1,0,0,3,4,3,5,0,2,1,6,2,0,3,3,1,8,7,5,7,13,4,5,10,9,3,10,6,9,6,10,13,4,11,9,3,2,4
Delfzijl,GM0010,24590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,3,0,0,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,6,0,1,2,5,4,1,0,0,4,2,1,4,0,6,6,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,2,2,1,0,2,1,1,0,2,3,4,1,2,0,0,2,2,2,3,10,4,5,1,5,3,2,4,3,4,3,1,0,4,5,1,2,1,2,0,1,3,0,1,2,5,1,3,6,7,6,8,5,3,6,7,2,5,5,1,2,1,16,10,16,16,23,9,10,18,8,11,12,17,8,10,30,23,14,19,31,9,8,30
Groningen,GM0014,233441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,3,1,0,3,12,5,12,8,6,0,6,18,4,3,2,1,4,4,2,3,4,4,0,4,5,1,4,7,5,2,1,1,2,2,0,4,2,1,0,3,3,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,2,1,1,1,0,2,2,3,2,3,6,5,3,7,4,3,5,4,5,5,9,3,6,4,5,1,7,3,3,3,0,1,4,0,0,4,1,7,2,3,7,2,4,4,9,10,8,10,26,26,12,27,30,24,29,34,30,39,61,66,62,42,63,37,38,53,62,63,45,45,156,75,95,53,62,100,80,58,94,116,96,71,118,96,80,92,93,82,67,58,59,40,36,47,58,126,40,49,37,27,30,32,30,26,35,30,31,43,14,36,28,39,33,34,40,21,27,15,41,34,34,32,20,18,19,26,33,21,26,32,46,29,35,22,33,57,49,27,60,68,53,65,67,40,121,115,70,75,87,110,57,85,66
Loppersum,GM0024,9476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,2,2,1,0,0,3,1,1,0,0,0,2,0,1,1,0,2,4,1,1,0,1,0,0,1,0,4,3,3,1,8,0,2,0,1,2,0,0,4,0,1,0,1,0,1,3,3,1,2,0,0,0,1,1,0,1,2,1,1,2,1,3,2,3,0,0,2,3,0,2,5,6,2,5,7,2,1,6,3,7,6,4,2,4,2,2,3,5
Almere,GM0034,214339,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,6,3,4,3,7,4,7,9,9,3,12,9,8,11,3,12,6,5,3,6,8,4,4,16,4,5,12,15,21,9,3,16,9,10,2,8,15,2,4,6,4,8,10,3,4,4,14,1,7,8,9,0,7,3,1,4,2,3,2,0,4,1,1,1,1,0,1,2,2,0,0,2,2,0,1,8,2,2,0,0,0,1,0,0,0,0,2,0,2,2,2,0,0,0,0,1,0,0,1,2,0,2,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,2,3,1,1,2,4,1,7,8,4,7,5,3,6,2,3,4,29,10,8,6,17,7,7,11,7,8,11,11,12,9,4,11,6,7,9,12,7,3,10,10,13,7,12,18,16,16,22,13,17,18,23,19,13,30,21,19,33,20,20,22,39,23,25,31,19,34,45,36,36,33,44,53,46,63,47,48,54,67,63,67,63,91,77,112,122,44,69,98,114,127,117,126,147,91,90,113,96,147,154,68,97,167,120,76,87,82,93,67,62,85,67,61,71,59,60,76,102,54,82,76,49,89,79,52,76,84,47,38,70,58,90,81,65,65,152,104,106,71,164,43,153,162,162,135,220,171,157,123,233,191,208,184,168
Stadskanaal,GM0037,31679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,1,1,3,3,2,6,3,1,3,3,1,4,3,1,0,1,7,4,2,5,1,7,6,3,6,5,12,2,5,4,7,14,9,9,14,5,10,7,14,13,10,29,13,13,12,12,17,18,9,7,10,13,17,10,9,6,5,20,8,15,13,7,5,10,14,21,6,17,0,3,12,12,10,3,10,3,4,15,9,16,20,28,11,8,25,22,23,21,28,20,25,41,28,22,14,30,13,15,17
Veendam,GM0047,27395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,2,1,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,2,0,0,0,1,2,0,2,0,0,0,1,0,0,2,0,4,2,1,2,2,1,0,0,1,4,1,1,1,7,3,1,2,7,4,5,3,7,5,5,7,4,1,12,7,2,1,7,9,3,0,9,5,8,4,8,6,1,1,4,0,3,0,3,2,4,0,1,0,3,2,1,6,2,1,4,5,2,5,3,1,1,4,8,0,5,4,1,9,8,3,8,5,22,10,5,7,7,10,14,14,4,18,22,11,17,20,26,13,16,14
Zeewolde,GM0050,22767,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,1,0,1,0,1,2,0,0,2,2,0,0,0,1,2,0,0,2,0,0,3,1,2,0,0,2,1,1,2,2,0,0,0,0,0,0,0,2,1,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,1,3,0,1,2,1,2,1,0,1,5,2,4,3,0,0,0,2,4,3,3,1,3,1,6,2,0,2,4,3,1,6,2,1,3,3,6,8,4,7,13,5,10,1,3,7,6,8,6,8,10,7,5,10,5,7,9,6,7,10,5,1,2,7,3,3,2,4,4,6,5,1,2,3,6,2,2,4,2,4,6,7,6,5,2,2,4,5,2,5,10,6,9,6,6,6,9,1,10,8,8,13,18,24,20,25,21,45,21,24,16
Achtkarspelen,GM0059,27880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,1,1,2,0,2,5,1,3,5,2,3,3,4,2,9,6,7,16,4,6,10,7,5,3,1,5,5,4,8,8,1,5,3,1,4,10,4,8,3,1,1,4,2,0,3,0,3,1,7,1,3,1,10,5,3,6,5,1,0,2,4,3,7,3,2,5,5,5,3,5,1,8,4,6,6,7,4,9,6,8,13,4,11,11,11,12,23,12,14,17,27
Ameland,GM0060,3759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,2,2,2,0,0,4,0,1,2,3,0,1,1,0,6,2,0,0,1,1,0,1,2,0,0,0,2,2,2,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,1,0,4,2,8,0,5,5,5,8,5,7,0,2,2
