Land/regio,2020-11-12,2020-11-13,2020-11-14,2020-11-15,2020-11-16,2020-11-17,2020-11-18
Bratislava,5935,5998,6037,6070,6124,6202,6269
Prešov,3571,3685,3709,3720,3814,3848,3957
Žilina,3298,3351,3388,3390,3445,3458,3538
Košice,3053,3120,3169,3174,3211,3252,3289
Prievidza,3045,3067,3100,3111,3161,3177,3190
Nitra,2746,2843,2897,2898,2946,3027,3059
Čadca,2573,2602,2618,2649,2667,2727,2766
Martin,2372,2391,2448,2465,2498,2502,2604
Bardejov,2484,2517,2542,2545,2548,2588,2592
Trenčín,2103,2172,2182,2225,2274,2331,2406
Banská Bystrica,2119,2151,2174,2190,2220,2235,2261
Trnava,2067,2097,2119,2122,2191,2196,2235
Námestovo,2113,2121,2123,2124,2129,2138,2144
Sabinov,1952,1980,1998,1998,2032,2045,2071
Poprad,1738,1786,1825,1834,1861,1921,1947
Dunajská Streda,1595,1702,1743,1757,1767,1880,1911
Liptovský Mikuláš,1730,1734,1778,1780,1839,1839,1874
Tvrdošín,1701,1704,1705,1705,1717,1718,1719
Ružomberok,1593,1619,1621,1627,1642,1655,1684
Michalovce,1541,1558,1582,1584,1599,1614,1616
Spišská Nová Ves,1226,1282,1320,1324,1337,1365,1408
Považská Bystrica,1125,1194,1242,1245,1271,1317,1359
Nové Zámky,1138,1185,1195,1202,1218,1241,1309
Trebišov,1146,1181,1230,1231,1246,1286,1301
Humenné,1239,1260,1261,1271,1274,1297,1299
Skalica,1187,1204,1204,1205,1234,1234,1297
Stará Ľubovňa,1171,1182,1219,1222,1226,1258,1262
Topoľčany,1163,1186,1199,1202,1230,1231,1249
Dolný Kubín,1215,1223,1223,1223,1223,1233,1243
Vranov nad Topľou,952,994,1008,1144,1158,1161,1197
Bánovce nad Bebravou,1007,1021,1031,1032,1045,1062,1074
Košice - okolie,973,992,1005,1006,1030,1043,1058
Komárno,836,850,868,868,896,935,974
Galanta,868,891,898,901,922,927,968
Senec,886,898,907,914,934,952,965
Brezno,862,878,894,901,916,932,948
Ilava,760,799,821,860,867,890,920
Púchov,760,809,840,843,865,894,920
Svidník,854,869,884,886,895,908,913
Senica,830,841,843,843,862,864,886
Kežmarok,665,704,746,747,765,787,811
Pezinok,764,771,775,780,783,793,798
Malacky,713,725,726,728,733,735,768
Zvolen,668,678,701,721,733,735,767
Nové Mesto nad Váhom,648,676,693,700,709,728,748
Kysucké Nové Mesto,628,643,656,660,681,692,716
Levoča,627,645,676,677,689,702,711
Partizánske,647,653,672,674,684,697,706
Lučenec,644,658,659,659,676,677,692
Piešťany,613,638,641,643,660,662,692
Snina,586,606,607,613,613,663,668
Stropkov,517,521,535,539,546,589,607
Hlohovec,551,557,568,568,590,592,601
Levice,549,559,571,571,579,595,599
Myjava,442,454,454,454,513,515,521
Rimavská Sobota,434,459,461,461,463,467,494
Veľký Krtíš,484,485,485,485,486,487,490
Žiar nad Hronom,440,458,458,459,472,474,479
Detva,409,421,423,430,442,445,460
Sobrance,417,421,429,430,433,437,437
Zlaté Moravce,365,376,377,380,382,388,397
Gelnica,319,322,361,362,367,373,383
Bytča,305,319,334,334,342,344,361
Šaľa,275,283,289,289,298,310,328
Rožňava,232,238,252,252,254,259,259
Poltár,217,222,223,223,225,225,228
Žarnovica,201,206,208,208,208,212,215
Revúca,199,203,204,204,204,207,209
Turčianske Teplice,197,199,201,201,202,202,205
Medzilaborce,183,185,185,185,186,187,189
Krupina,170,172,173,174,175,176,180
Banská Štiavnica,160,173,174,174,175,175,177
