Land/regio,2020-10-15,2020-10-16,2020-10-17,2020-10-18,2020-10-19,2020-10-20,2020-10-21,2020-10-22,2020-10-23,2020-10-24,2020-10-25,2020-10-26,2020-10-27,2020-10-28,2020-10-29,2020-10-30,2020-10-31,2020-11-01,2020-11-02,2020-11-03,2020-11-04,2020-11-05,2020-11-06,2020-11-07,2020-11-08,2020-11-09,2020-11-10
Bratislava,2909,2980,0,0,0,3340,3389,0,0,0,0,0,0,0,0,4516,4629,4765,4909,5098,5145,5277,5490,5553,5605,5649,5742
Prešov,992,1074,0,0,0,1317,1410,0,0,0,0,0,0,0,0,2512,2592,2665,2735,2836,2908,2971,3073,3145,3154,3245,3377
Žilina,663,695,0,0,0,911,965,0,0,0,0,0,0,0,0,1918,2071,2213,2366,2579,2645,2761,2881,2936,2937,2960,3079
Prievidza,902,1005,0,0,0,1151,1212,0,0,0,0,0,0,0,0,2069,2147,2213,2253,2391,2493,2665,2770,2846,2863,2873,2925
Košice,945,1032,0,0,0,1255,1309,0,0,0,0,0,0,0,0,2279,2319,2442,2482,2573,2599,2714,2776,2820,2848,2892,2922
Nitra,822,904,0,0,0,1140,1219,0,0,0,0,0,0,0,0,1943,2032,2051,2118,2189,2250,2316,2377,2436,2445,2496,2570
Bardejov,1170,1273,0,0,0,1485,1536,0,0,0,0,0,0,0,0,2137,2143,2167,2174,2242,2267,2294,2346,2370,2371,2376,2410
Čadca,492,574,0,0,0,723,772,0,0,0,0,0,0,0,0,1364,1447,1553,1687,1882,1933,2036,2184,2269,2302,2320,2380
Martin,463,494,515,526,0,661,739,0,0,0,0,0,0,0,0,1519,1648,1678,1747,1799,1945,2013,2090,2159,2169,2179,2264
Námestovo,1259,1382,0,0,0,1551,1622,0,0,0,0,0,0,0,0,1979,1997,2008,2012,2022,2036,2051,2053,2061,2063,2067,2092
Banská Bystrica,495,586,0,0,0,708,783,0,0,0,0,0,0,0,0,1351,1426,1460,1509,1595,1698,1784,1865,1930,1958,1985,2024
Trnava,844,869,0,0,0,998,1037,0,0,0,0,0,0,0,0,1492,1559,1576,1644,1721,1754,1780,1848,1891,1901,1960,1992
Trenčín,614,646,0,0,0,750,783,0,0,0,0,0,0,0,0,1277,1323,1388,1424,1536,1604,1676,1781,1858,1884,1936,1978
Sabinov,437,480,0,0,0,631,681,0,0,0,0,0,0,0,0,1443,1462,1507,1538,1604,1644,1696,1737,1768,1777,1806,1871
Tvrdošín,886,998,0,0,0,1141,1250,0,0,0,0,0,0,0,0,1573,1588,1593,1600,1621,1635,1643,1672,1681,1681,1682,1687
Liptovský Mikuláš,534,643,0,0,0,735,785,0,0,0,0,0,0,0,0,1292,1401,1406,1411,1472,1500,1533,1557,1582,1585,1628,1630
Poprad,448,484,0,0,539,597,633,0,0,0,0,0,0,0,0,1101,1213,1228,1239,1283,1341,1431,1503,1559,1570,1583,1621
Ružomberok,283,313,368,389,400,465,489,590,0,0,0,0,0,0,0,1210,1284,1289,1313,1368,1390,1422,1451,1479,1483,1504,1521
Dunajská Streda,498,509,0,0,0,565,588,0,636,653,693,720,745,781,855,891,930,971,1050,1117,1142,1193,1296,1351,1374,1412,1459
Michalovce,609,637,0,0,0,706,718,0,0,0,0,0,0,0,0,1111,1114,1181,1183,1231,1241,1345,1371,1395,1406,1427,1450
Dolný Kubín,571,647,0,0,0,776,795,0,0,0,0,0,0,0,0,1094,1121,1122,1135,1151,1163,1173,1188,1194,1194,1203,1205
Humenné,363,398,421,443,452,480,499,564,621,684,701,702,742,778,827,877,888,947,949,994,1013,1036,1100,1149,1164,1177,1188
Spišská Nová Ves,372,393,405,418,425,450,470,492,525,574,591,607,650,656,705,745,760,801,845,924,938,1002,1035,1075,1082,1110,1145
Skalica,396,406,433,433,443,478,498,526,579,588,596,623,642,697,740,761,788,794,819,861,958,998,1029,1048,1050,1090,1135
Topoľčany,247,261,286,290,304,319,349,384,430,454,471,507,549,586,646,666,748,807,852,912,940,979,1026,1039,1061,1087,1105
Stará Ľubovňa,359,370,384,397,397,433,452,489,524,589,596,597,627,684,729,775,778,812,836,891,918,940,980,1016,1052,1052,1069
Trebišov,402,424,443,455,455,495,505,534,579,614,633,635,673,701,722,764,775,823,833,874,904,931,960,995,1001,1004,1068
Nové Zámky,521,529,0,0,0,577,585,604,631,647,651,663,675,733,769,806,831,844,856,871,917,925,961,969,976,993,1022
Považská Bystrica,249,273,295,307,308,328,341,371,388,430,433,441,475,487,585,621,675,690,705,774,835,875,927,951,953,964,1016
Bánovce nad Bebravou,197,217,226,244,247,271,304,358,403,434,465,496,571,603,644,694,724,764,790,857,890,904,923,943,950,972,980
Košice - okolie,224,246,270,288,298,316,335,386,415,450,471,478,523,565,635,676,688,713,722,772,781,798,826,852,873,902,923
Senec,380,389,393,395,411,429,436,459,476,493,510,521,548,583,623,649,666,702,731,762,766,780,806,818,827,833,847
Svidník,254,271,283,287,308,327,353,390,440,466,473,473,544,561,594,616,644,654,658,702,715,722,773,789,790,805,837
Vranov nad Topľou,216,231,240,246,250,257,285,322,352,387,399,400,453,478,522,548,554,611,624,656,677,699,724,775,779,787,829
Brezno,171,192,197,202,208,253,268,290,324,383,387,390,418,515,562,591,607,627,636,671,712,728,755,774,788,796,821
Galanta,295,301,310,335,338,358,371,397,426,449,468,484,496,528,553,567,606,611,642,688,699,711,722,784,802,808,819
Senica,265,275,314,314,320,354,370,408,437,460,465,478,513,574,594,611,650,654,680,718,727,733,754,766,766,785,799
Komárno,295,300,301,306,309,317,325,350,376,400,418,422,445,456,490,511,550,566,582,613,640,659,685,711,714,721,746
Pezinok,312,326,340,355,380,409,413,430,445,478,498,515,544,561,583,593,612,619,633,647,652,664,689,692,700,712,726
Ilava,171,182,196,208,208,230,240,252,279,305,319,332,351,377,410,423,448,471,490,520,559,582,616,641,651,657,684
Malacky,252,261,286,293,304,320,326,344,354,378,392,399,418,447,477,490,514,562,577,594,603,620,637,647,660,668,683
Púchov,178,187,195,199,199,223,229,246,259,284,290,298,311,320,373,392,426,452,457,509,538,559,587,617,623,628,667
Lučenec,175,183,213,213,214,254,261,308,316,356,358,359,427,451,467,487,520,521,526,551,553,559,569,573,574,585,613
Zvolen,121,133,143,150,153,165,180,188,211,235,244,251,258,278,300,330,346,369,382,421,447,520,548,568,581,597,612
Kežmarok,119,133,146,153,153,182,193,213,243,281,288,289,317,337,363,393,412,429,438,456,492,522,546,574,580,585,605
Kysucké Nové Mesto,55,63,72,0,78,86,99,106,115,148,175,179,182,195,225,244,280,306,348,385,434,503,536,556,560,569,590
Nové Mesto nad Váhom,174,177,179,185,187,192,203,219,229,238,251,271,286,293,336,346,381,385,408,462,470,492,513,552,556,559,589
Levoča,114,129,137,174,174,209,226,235,255,347,370,377,392,393,413,420,438,456,476,504,519,535,543,560,563,571,588
Partizánske,116,125,134,151,155,161,173,191,205,259,273,289,308,319,348,367,384,402,427,474,494,516,530,557,566,567,582
Piešťany,156,169,169,178,184,197,208,227,247,250,253,272,302,325,339,367,386,395,420,452,462,474,493,499,500,528,559
Snina,179,184,199,212,215,230,236,266,298,311,317,319,333,353,371,405,413,423,426,471,473,503,525,544,546,547,558
Hlohovec,162,173,179,196,203,228,240,258,271,297,307,319,341,371,395,414,443,448,475,490,493,496,503,513,514,520,529
Levice,118,126,135,140,143,164,170,186,204,216,218,219,244,270,282,313,331,340,348,366,393,427,449,462,463,480,501
Stropkov,194,200,206,212,214,223,245,260,289,309,311,311,336,351,367,386,390,405,414,426,444,457,470,482,482,483,498
Veľký Krtíš,184,217,219,220,220,224,282,324,330,387,387,389,402,415,426,439,442,443,443,444,451,456,462,464,464,466,468
Myjava,198,212,225,225,225,232,236,248,254,265,266,266,332,342,343,353,366,366,374,380,390,403,408,409,409,414,426
Žiar nad Hronom,179,198,203,204,205,221,230,258,274,287,290,291,299,312,322,336,342,345,346,356,370,377,388,408,409,413,420
Sobrance,208,221,223,236,236,238,247,264,276,287,295,295,307,311,321,335,336,364,366,372,376,378,385,394,396,400,404
Detva,79,85,88,97,98,107,111,112,122,140,143,145,166,178,186,203,217,223,232,249,261,270,278,290,301,307,384
Rimavská Sobota,80,83,84,0,87,90,93,114,120,129,131,132,164,178,236,246,258,261,262,264,284,292,303,305,305,307,343
Zlaté Moravce,136,147,148,150,159,174,185,189,210,217,217,219,229,239,254,264,265,273,282,290,305,312,320,327,327,333,343
Gelnica,73,76,86,0,95,105,109,123,138,169,176,178,214,226,241,242,242,252,256,283,285,290,298,302,305,305,310
Bytča,36,36,45,0,46,53,58,63,66,103,110,110,111,120,136,145,155,172,189,210,218,229,242,246,246,250,266
Šaľa,99,104,106,108,110,114,118,125,129,135,137,141,142,150,160,164,171,177,191,204,211,216,226,230,231,235,250
Poltár,26,29,30,0,30,34,36,45,48,58,58,59,75,84,152,152,162,162,163,183,184,196,197,197,201,202,207
Rožňava,68,78,78,0,84,87,88,95,110,110,112,112,113,122,134,138,138,142,142,158,164,172,174,184,184,184,192
Turčianske Teplice,30,30,31,0,31,35,41,49,57,64,65,68,81,90,99,107,114,115,119,126,139,147,160,163,165,166,188
Revúca,75,76,77,0,78,80,85,86,88,91,95,97,122,125,133,145,150,153,154,156,160,160,171,178,178,179,187
Žarnovica,53,67,69,0,69,76,80,95,101,105,107,108,115,125,131,139,140,144,144,146,156,164,172,173,175,176,182
Medzilaborce,42,48,51,0,57,88,93,99,103,112,113,114,118,124,132,137,138,147,147,154,158,160,166,171,171,172,175
Krupina,28,31,32,0,32,34,41,42,44,50,50,50,51,57,68,72,78,80,81,86,97,102,126,136,144,145,153
Banská Štiavnica,68,78,78,0,79,89,94,98,114,120,120,120,121,125,127,128,130,131,131,133,136,141,142,144,144,144,151
