Municipality_code,ggd_code,province_code,regio_title,safetyRegion_code,Municipality_name,population
NA,NA,NA,NA,NA,"Nederland",0
"GM0014","GG0111","PV20","Noord","VR01","Groningen",231112
"GM0034","GG2209","PV24","Noord","VR25","Almere",213660
"GM0037","GG0111","PV20","Noord","VR01","Stadskanaal",31581
"GM0047","GG0111","PV20","Noord","VR01","Veendam",27430
"GM0050","GG2209","PV24","Niet-Noord","VR25","Zeewolde",22680
"GM0059","GG7206","PV21","Noord","VR02","Achtkarspelen",27873
"GM0060","GG7206","PV21","Noord","VR02","Ameland",3752
"GM0072","GG7206","PV21","Noord","VR02","Harlingen",15793
"GM0074","GG7206","PV21","Noord","VR02","Heerenveen",50456
"GM0080","GG7206","PV21","Noord","VR02","Leeuwarden",123625
"GM0085","GG7206","PV21","Noord","VR02","Ooststellingwerf",25366
"GM0086","GG7206","PV21","Noord","VR02","Opsterland",29743
"GM0088","GG7206","PV21","Noord","VR02","Schiermonnikoog",953
"GM0090","GG7206","PV21","Noord","VR02","Smallingerland",56181
"GM0093","GG7206","PV21","Noord","VR02","Terschelling",4807
"GM0096","GG7206","PV21","Noord","VR02","Vlieland",1190
"GM0098","GG7206","PV21","Noord","VR02","Weststellingwerf",26018
"GM0106","GG0706","PV22","Noord","VR03","Assen",68798
"GM0109","GG0706","PV22","Noord","VR03","Coevorden",35303
"GM0114","GG0706","PV22","Noord","VR03","Emmen",107078
"GM0118","GG0706","PV22","Noord","VR03","Hoogeveen",55566
"GM0119","GG0706","PV22","Noord","VR03","Meppel",34125
"GM0141","GG1106","PV23","Noord","VR05","Almelo",73175
"GM0147","GG1106","PV23","Noord","VR05","Borne",23489
"GM0148","GG1009","PV23","Noord","VR04","Dalfsen",28837
"GM0150","GG1009","PV23","Noord","VR04","Deventer",100913
"GM0153","GG1106","PV23","Noord","VR05","Enschede",158918
"GM0158","GG1106","PV23","Noord","VR05","Haaksbergen",24275
"GM0160","GG1009","PV23","Noord","VR04","Hardenberg",61194
"GM0163","GG1106","PV23","Noord","VR05","Hellendoorn",35959
"GM0164","GG1106","PV23","Noord","VR05","Hengelo",81047
"GM0166","GG1009","PV23","Noord","VR04","Kampen",54409
"GM0168","GG1106","PV23","Noord","VR05","Losser",22780
"GM0171","GG2209","PV24","Noord","VR25","Noordoostpolder",47618
"GM0173","GG1106","PV23","Noord","VR05","Oldenzaal",31792
"GM0175","GG1009","PV23","Noord","VR04","Ommen",18179
"GM0177","GG1009","PV23","Noord","VR04","Raalte",37782
"GM0180","GG1009","PV23","Noord","VR04","Staphorst",17217
"GM0183","GG1106","PV23","Noord","VR05","Tubbergen",21271
"GM0184","GG2209","PV24","Noord","VR25","Urk",21135
"GM0189","GG1106","PV23","Noord","VR05","Wierden",24474
"GM0193","GG1009","PV23","Noord","VR04","Zwolle",129213
"GM0197","GG1413","PV25","Niet-Noord","VR06","Aalten",27116
"GM0200","GG1413","PV25","Niet-Noord","VR06","Apeldoorn",164140
"GM0202","GG1911","PV25","Niet-Noord","VR07","Arnhem",161961
"GM0203","GG1911","PV25","Niet-Noord","VR07","Barneveld",59676
"GM0209","GG2014","PV25","Niet-Noord","VR08","Beuningen",26054
"GM0213","GG1413","PV25","Niet-Noord","VR06","Brummen",20838
"GM0214","GG2014","PV25","Niet-Noord","VR08","Buren",27021
"GM0216","GG2014","PV25","Niet-Noord","VR08","Culemborg",29020
"GM0221","GG1911","PV25","Niet-Noord","VR07","Doesburg",11028
"GM0222","GG1413","PV25","Niet-Noord","VR06","Doetinchem",58104
"GM0225","GG2014","PV25","Niet-Noord","VR08","Druten",18973
"GM0226","GG1911","PV25","Niet-Noord","VR07","Duiven",25062
"GM0228","GG1911","PV25","Niet-Noord","VR07","Ede",117966
"GM0230","GG1413","PV25","Niet-Noord","VR06","Elburg",23343
"GM0232","GG1413","PV25","Niet-Noord","VR06","Epe",33171
"GM0233","GG1413","PV25","Niet-Noord","VR06","Ermelo",26991
"GM0243","GG1413","PV25","Niet-Noord","VR06","Harderwijk",48623
"GM0244","GG1413","PV25","Noord","VR06","Hattem",12241
"GM0246","GG1413","PV25","Niet-Noord","VR06","Heerde",18645
"GM0252","GG2014","PV25","Niet-Noord","VR08","Heumen",16589
"GM0262","GG1413","PV25","Niet-Noord","VR06","Lochem",33847
"GM0263","GG2014","PV25","Niet-Noord","VR08","Maasdriel",25434
"GM0267","GG1911","PV25","Niet-Noord","VR07","Nijkerk",43417
"GM0268","GG2014","PV25","Niet-Noord","VR08","Nijmegen",176669
"GM0269","GG1413","PV25","Niet-Noord","VR06","Oldebroek",23670
"GM0273","GG1413","PV25","Niet-Noord","VR06","Putten",24220
"GM0274","GG1911","PV25","Niet-Noord","VR07","Renkum",31401
"GM0275","GG1911","PV25","Niet-Noord","VR07","Rheden",43565
"GM0277","GG1911","PV25","Niet-Noord","VR07","Rozendaal",1697
"GM0279","GG1911","PV25","Niet-Noord","VR07","Scherpenzeel",10000
"GM0281","GG2014","PV25","Niet-Noord","VR08","Tiel",41962
"GM0285","GG1413","PV25","Niet-Noord","VR06","Voorst",24702
"GM0289","GG1911","PV25","Niet-Noord","VR07","Wageningen",39134
"GM0293","GG1911","PV25","Niet-Noord","VR07","Westervoort",15013
"GM0294","GG1413","PV25","Niet-Noord","VR06","Winterswijk",28893
"GM0296","GG2014","PV25","Niet-Noord","VR08","Wijchen",41179
"GM0297","GG2014","PV25","Niet-Noord","VR08","Zaltbommel",29225
"GM0299","GG1911","PV25","Niet-Noord","VR07","Zevenaar",44011
"GM0301","GG1413","PV25","Niet-Noord","VR06","Zutphen",48077
"GM0302","GG1413","PV25","Niet-Noord","VR06","Nunspeet",27862
"GM0303","GG2209","PV24","Noord","VR25","Dronten",41677
"GM0307","GG2514","PV26","Niet-Noord","VR09","Amersfoort",157521
"GM0308","GG2514","PV26","Niet-Noord","VR09","Baarn",24823
"GM0310","GG2514","PV26","Niet-Noord","VR09","De Bilt",43190
"GM0312","GG2514","PV26","Niet-Noord","VR09","Bunnik",15262
"GM0313","GG2514","PV26","Niet-Noord","VR09","Bunschoten",21930
"GM0317","GG2514","PV26","Noord","VR09","Eemnes",9323
"GM0321","GG2514","PV26","Niet-Noord","VR09","Houten",50290
"GM0327","GG2514","PV26","Niet-Noord","VR09","Leusden",30486
"GM0331","GG2514","PV26","Niet-Noord","VR09","Lopik",14483
"GM0335","GG2514","PV26","Niet-Noord","VR09","Montfoort",13889
"GM0339","GG2514","PV26","Niet-Noord","VR09","Renswoude",5517
"GM0340","GG2514","PV26","Niet-Noord","VR09","Rhenen",20086
"GM0342","GG2514","PV26","Niet-Noord","VR09","Soest",46842
"GM0344","GG2514","PV26","Niet-Noord","VR09","Utrecht",357667
"GM0345","GG2514","PV26","Niet-Noord","VR09","Veenendaal",66918
"GM0351","GG2514","PV26","Niet-Noord","VR09","Woudenberg",13568
"GM0352","GG2514","PV26","Niet-Noord","VR09","Wijk bij Duurstede",23901
"GM0353","GG2514","PV26","Niet-Noord","VR09","IJsselstein",33851
"GM0355","GG2514","PV26","Niet-Noord","VR09","Zeist",64883
"GM0356","GG2514","PV26","Niet-Noord","VR09","Nieuwegein",63690
"GM0358","GG3406","PV27","Noord","VR13","Aalsmeer",31927
"GM0361","GG2707","PV27","Noord","VR10","Alkmaar",109751
"GM0362","GG3406","PV27","Noord","VR13","Amstelveen",90705
"GM0363","GG3406","PV27","Noord","VR13","Amsterdam",869709
"GM0370","GG7306","PV27","Noord","VR11","Beemster",10019
"GM0373","GG2707","PV27","Noord","VR10","Bergen (NH.)",29762
"GM0375","GG3109","PV27","Noord","VR12","Beverwijk",41752
"GM0376","GG3606","PV27","Noord","VR14","Blaricum",11799
"GM0377","GG3109","PV27","Noord","VR12","Bloemendaal",23566
"GM0383","GG2707","PV27","Noord","VR10","Castricum",36124
"GM0384","GG3406","PV27","Noord","VR13","Diemen",31206
"GM0385","GG7306","PV27","Noord","VR11","Edam-Volendam",36190
"GM0388","GG2707","PV27","Noord","VR10","Enkhuizen",18658
"GM0392","GG3109","PV27","Noord","VR12","Haarlem",162962
"GM0394","GG3109","PV27","Noord","VR12","Haarlemmermeer",157115
"GM0396","GG3109","PV27","Noord","VR12","Heemskerk",39230
"GM0397","GG3109","PV27","Noord","VR12","Heemstede",27341
"GM0398","GG2707","PV27","Noord","VR10","Heerhugowaard",58018
"GM0399","GG2707","PV27","Noord","VR10","Heiloo",24100
"GM0400","GG2707","PV27","Noord","VR10","Den Helder",56388
"GM0402","GG3606","PV27","Noord","VR14","Hilversum",91110
"GM0405","GG2707","PV27","Noord","VR10","Hoorn",73360
"GM0406","GG3606","PV27","Noord","VR14","Huizen",41104
"GM0415","GG7306","PV27","Noord","VR11","Landsmeer",11573
"GM0416","GG2707","PV27","Noord","VR10","Langedijk",28214
"GM0417","GG3606","PV27","Noord","VR14","Laren",11355
"GM0420","GG2707","PV27","Noord","VR10","Medemblik",45138
"GM0431","GG7306","PV27","Noord","VR11","Oostzaan",9682
"GM0432","GG2707","PV27","Noord","VR10","Opmeer",11967
"GM0437","GG3406","PV27","Noord","VR13","Ouder-Amstel",14065
"GM0439","GG7306","PV27","Noord","VR11","Purmerend",81775
"GM0441","GG2707","PV27","Noord","VR10","Schagen",46459
"GM0448","GG2707","PV27","Noord","VR10","Texel",13643
"GM0450","GG3109","PV27","Noord","VR12","Uitgeest",13643
"GM0451","GG3406","PV27","Noord","VR13","Uithoorn",29817
"GM0453","GG3109","PV27","Noord","VR12","Velsen",68713
"GM0457","GG3606","PV27","Noord","VR14","Weesp",20219
"GM0473","GG3109","PV27","Noord","VR12","Zandvoort",17116
"GM0479","GG7306","PV27","Noord","VR11","Zaanstad",156907
"GM0482","GG4816","PV28","Niet-Noord","VR18","Alblasserdam",20221
"GM0484","GG4506","PV28","Niet-Noord","VR16","Alphen aan den Rijn",112343
"GM0489","GG4607","PV28","Niet-Noord","VR17","Barendrecht",48654
"GM0498","GG2707","PV27","Noord","VR10","Drechterland",19775
"GM0501","GG4607","PV28","Niet-Noord","VR17","Brielle",17378
"GM0502","GG4607","PV28","Niet-Noord","VR17","Capelle aan den IJssel",67142
"GM0503","GG7014","PV28","Niet-Noord","VR15","Delft",103037
"GM0505","GG4816","PV28","Niet-Noord","VR18","Dordrecht",119342
"GM0512","GG4816","PV28","Niet-Noord","VR18","Gorinchem",37372
"GM0513","GG4506","PV28","Niet-Noord","VR16","Gouda",73540
"GM0518","GG7014","PV28","Niet-Noord","VR15","'s-Gravenhage",545863
"GM0523","GG4816","PV28","Niet-Noord","VR18","Hardinxveld-Giessendam",18460
"GM0530","GG4607","PV28","Niet-Noord","VR17","Hellevoetsluis",40198
"GM0531","GG4816","PV28","Niet-Noord","VR18","Hendrik-Ido-Ambacht",31311
"GM0532","GG2707","PV27","Noord","VR10","Stede Broec",21773
"GM0534","GG4506","PV28","Niet-Noord","VR16","Hillegom",22210
"GM0537","GG4506","PV28","Niet-Noord","VR16","Katwijk",65929
"GM0542","GG4607","PV28","Niet-Noord","VR17","Krimpen aan den IJssel",29452
"GM0546","GG4506","PV28","Niet-Noord","VR16","Leiden",123655
"GM0547","GG4506","PV28","Niet-Noord","VR16","Leiderdorp",27304
"GM0553","GG4506","PV28","Niet-Noord","VR16","Lisse",22983
"GM0556","GG4607","PV28","Niet-Noord","VR17","Maassluis",33336
"GM0569","GG4506","PV28","Niet-Noord","VR16","Nieuwkoop",29021
"GM0575","GG4506","PV28","Niet-Noord","VR16","Noordwijk",43733
"GM0579","GG4506","PV28","Niet-Noord","VR16","Oegstgeest",24972
"GM0589","GG2514","PV26","Niet-Noord","VR09","Oudewater",10178
"GM0590","GG4816","PV28","Niet-Noord","VR18","Papendrecht",32095
"GM0597","GG4607","PV28","Niet-Noord","VR17","Ridderkerk",46576
"GM0599","GG4607","PV28","Niet-Noord","VR17","Rotterdam",650459
"GM0603","GG7014","PV28","Niet-Noord","VR15","Rijswijk",54855
"GM0606","GG4607","PV28","Niet-Noord","VR17","Schiedam",79003
"GM0610","GG4816","PV28","Niet-Noord","VR18","Sliedrecht",25350
"GM0613","GG4607","PV28","Niet-Noord","VR17","Albrandswaard",25896
"GM0614","GG4607","PV28","Niet-Noord","VR17","Westvoorne",14863
"GM0622","GG4607","PV28","Niet-Noord","VR17","Vlaardingen",73758
